"gene","pval","effect","fdr"
"ATP5F1C","0.0322435592280201","0.0183184111933983",0.05504600135724
"ATP5F1D","0.00170902360449402","-0.0387979241725587",0.00469614019395025
"ATP5F1E","0.0172562283668298","-0.0428482240234012",0.0324976253579087
"ATP5IF1","0.224465310404259","0.0103225439461744",0.290190434631013
"ATP5MC1","0.590076926230587","-0.00877138873863625",0.657219631965209
"ATP5MD","0.00164742072411249","0.0432008102096031",0.00456598085731056
"ATP5ME","1.37539638184188e-05","0.076589170239552",0.00013200046440913
"ATP5MF","7.91522219581944e-07","-0.0752467994771009",3.45702684684576e-05
"ATP5MF.PTCD1","0.293513695035988","0.0896698805794758",0.364910000390581
"ATP5MG","0.000561553267500666","0.0801497774202474",0.00193548976048925
"ATP5MPL","0.0165779173236605","0.038478195899641",0.0314084325510433
"ATP5PB","0.000388151322807141","0.0515178113348949",0.00146955671156688
"ATP5PD","0.000113736429466077","0.0618234980151006",0.000574409868868049
"ATP5PF","0.0546032437228526","0.0159232083551782",0.0863737823375032
"ATP5PO","0.000826845285416274","0.0379692660444501",0.00263967376784997
"ATP5S","0.00688735183676871","0.0304700076177803",0.0149368008777899
"ATP6AP1","0.000111345113120431","-0.0281564025532064",0.00056654830589977
"ATP6AP2","0.000376506526075687","0.038058071676933",0.00143320967925135
"ATP6V0A1","0.00013694133111946","0.0605187414774647",0.000659835631549967
"ATP6V0A2","0.00474256232122905","0.0189774064559384",0.0109581568035903
"ATP6V0C","0.0274932221491842","-0.0245981752399105",0.0481170987988315
"ATP6V0D1","0.0514996874272055","0.0178911113415903",0.0822064549875852
"ATP6V0D2","0.0205236607744991","-0.0910942693240487",0.0375340398631367
"ATP6V1A","0.000507937332118548","-0.0341169812677017",0.00179551315267507
"ATP6V1B1","0.00150192429464554","-0.109324521713562",0.00423616097093928
"ATP6V1B2","0.0170781901671722","-0.0140606346456105",0.0322289391164714
"ATP6V1C1","1.30733578877161e-06","0.0344940622152656",4.05229627315499e-05
"ATP6V1C2","0.000562627584388914","-0.097870413415057",0.00193727355413387
"ATP6V1D","0.389190573931147","0.00598962529464608",0.464340253145672
"ATP6V1E1","4.42592314737031e-05","0.0602117001912923",0.000289128585247209
"ATP6V1F","0.000506448407029967","-0.0260212389214226",0.00179094463844163
"ATP6V1G1","0.0376148311907198","0.0299744262412838",0.0627235053323018
"ATP6V1G2","0.000404224333576877","0.0541792482056083",0.00151281164348504
"ATP6V1H","0.0133567222969836","-0.0191431776923797",0.0261706751865
"ATP7A","2.38292695547738e-06","0.0372748560960785",5.03842537013117e-05
"ATP8A1","0.3780103118727","0.0106483945120172",0.453383518306912
"ATP8B1","0.391348956625665","-0.008490063353083",0.466557174480597
"ATP9A","0.89652053260753","0.000952598745660449",0.916958662743768
"ATP9B","6.1747808494894e-05","0.0421914225009853",0.00036610785869484
"ATPAF1","0.524813762780799","0.00452686351895659",0.595594996291584
"ATPAF2","0.000696275810080562","-0.0282951088707498",0.00230657919370822
"ATR","0.0735517751263154","-0.0118323012818231",0.11150845561905
"ATRAID","0.131023159590767","0.0226645801699087",0.182822546830602
"ATRIP","0.987533126548853","0.000147718991801216",0.989487562643177
"ATRN","0.00745065307169303","-0.0481351015875449",0.0159234994001732
"ATRX","0.0676959880578549","0.00624393866946127",0.103840016692683
"ATXN1","0.375844347065746","0.00529722883349015",0.451320270761648
"ATXN10","0.49783392536481","-0.00369658529641459",0.57073349626991
"ATXN1L","0.0254671660416849","-0.0218172111114299",0.0450995499684948
"ATXN2","0.161791673877306","-0.00919304926486564",0.2187548255258
"ATXN2L","4.67147588857589e-05","-0.0578369287300975",0.000299411633505103
"ATXN3","1.16023937863299e-07","0.0446238173692887",2.02081643053856e-05
"ATXN7","0.00979746904463928","0.0346922419765936",0.020063895596359
"ATXN7L3","0.0833836502117709","-0.0189094653106123",0.12442692064514
"ATXN7L3B","0.0389406568948196","-0.00853707976212881",0.0645915919698746
"AUH","0.000444152516648522","0.0258218570582731",0.00161967262273629
"AUP1","0.00930030325358462","0.0269660505628027",0.0192272376474403
"AUTS2","0.592106582042122","-0.0098264127009684",0.658594810466234
"AVEN","0.447073768575779","0.00424125345920101",0.521195247925173
"AVL9","6.20857010602007e-06","0.0329961516358378",8.32039696708249e-05
"AZGP1","0.67572661150244","-0.0225244319416428",0.733170212004017
"AZI2","0.444051553206334","0.00592234686326742",0.518401460974804
"AZU1","0.103708069272798","-0.0629543745169206",0.149587153416114
"B2M","0.0188924023728957","0.0283969854269022",0.0350287818563985
"B3GALT6","0.836673359761424","-0.00186579872286408",0.867812921409727
"B3GAT3","0.857500816428212","-0.00117811079740182",0.884983571926421
"B3GLCT","0.000844923654017206","0.0333116347169535",0.00269051141682661
"B3GNT2","0.589311135609486","-0.00863865528784813",0.656607455533592
"B3GNTL1","0.0378473217255016","-0.0253211187553367",0.0630419745721982
"B4GALNT3","0.00358350788086519","-0.0918329006181445",0.00866220353271206
"B4GALT1","0.0166379042113357","-0.0517254049898569",0.0315089819363887
"B4GALT3","0.679611117076578","-0.010584828024904",0.737033929539314
"B4GALT4","0.620155483274047","0.00520816153047321",0.68469553175144
"B4GALT5","0.000864366667474139","0.118678084196943",0.00274172413529127
"B9D1","0.0919400916814107","-0.0129389628649724",0.135137105724628
"B9D2","0.00216875243004237","-0.0359811679600035",0.00572035915918267
"BABAM1","4.25511148491339e-05","-0.0343881709744623",0.00028058488395091
"BABAM2","0.140263106270074","0.0094280612810882",0.193786793122981
"BACH1","0.15974647097993","0.0173104110319675",0.216310488861828
"BAD","0.000317765107456871","-0.04764699994901",0.00126233366358085
"BAG1","0.0038580849422399","-0.0329848357741112",0.00918942187104867
"BAG2","0.00261818053176902","0.0468578482783876",0.00669645781252065
"BAG3","0.0141305936598586","-0.0439370546122483",0.0274333404393463
"BAG4","0.000865137622211788","-0.0250193391262974",0.00274321473598331
"BAG5","0.559412035630565","-0.00368025612507172",0.628054931711388
