"gene","pval","effect","fdr"
"DNAH17","0.042089677302265","0.00806407340302462",0.0531685048391076
"DNAH2","0.041275694825408","-0.00996349400718782",0.0522150729244336
"DNAH3","8.76104370679509e-05","0.0271455752570486",0.000148140451381112
"DNAH5","3.45687490821375e-08","-0.0265731977989696",7.94507813620027e-08
"DNAH6","1.6250776920015e-09","0.0389259157019571",4.18080332486009e-09
"DNAH7","1.20716594929322e-08","0.0286282076464702",2.88168903327466e-08
"DNAH8","3.8335188822733e-10","-0.026570338207104",1.0467708231748e-09
"DNAH9","2.17565026941084e-18","0.0679715584344047",1.27639830375887e-17
"DNAI1","2.03255552733001e-08","0.0380929213448424",4.76638202600913e-08
"DNAI2","2.29268894893566e-11","0.0569577974745299",6.97515373768098e-11
"DNAJA1","7.53688051259394e-19","0.0145215198044615",4.58883892602942e-18
"DNAJA2","1.99226419177711e-11","0.00525655272828696",6.08981102932436e-11
"DNAJA4","3.6027942793858e-05","-0.00898092286407587",6.34528812706789e-05
"DNAJB1","9.75729270828334e-06","0.00947596804406409",1.80156066966762e-05
"DNAJB11","2.86404391965048e-10","-0.00762973701580033",7.92309240635767e-10
"DNAJB12","7.06656535000288e-14","0.00888371673475236",2.71440068632388e-13
"DNAJB13","6.45045038586013e-19","-0.0490774932397948",3.95217424462776e-18
"DNAJB14","5.78186022154308e-17","0.0122860567649331",2.97339672792929e-16
"DNAJB2","1.35776701693132e-33","-0.0138500635030605",5.60382225413484e-32
"DNAJB4","1.73385961321624e-05","0.00797750153283566",3.1339367105077e-05
"DNAJB5","0.191402982236362","0.00277845074042216",0.22153261210311
"DNAJB6","4.07488487092359e-15","-0.013185776817434",1.73039878997758e-14
"DNAJB9","5.99330740873441e-07","-0.0118415631264236",1.23390774354693e-06
"DNAJC1","1.21797421533194e-33","0.0194988287908591",5.04834697201046e-32
"DNAJC10","0.0419330797633407","0.00189970744251744",0.0529844893987287
"DNAJC11","0.0187861054743836","0.00270823507188073",0.0247630384610012
"DNAJC12","6.12434745165553e-19","-0.047395945599538",3.76664844220716e-18
"DNAJC14","1.56904046151195e-06","0.00971002504474139",3.10954708545247e-06
"DNAJC16","4.18233337895626e-06","-0.00477570249821685",7.95849547625991e-06
"DNAJC17","0.00434102109097306","0.00284785682717187",0.00613754570865127
"DNAJC19","1.68048048342004e-11","0.0112717451118884",5.17427943133047e-11
"DNAJC2","0.00139792497243159","0.00345748631169551",0.00208527750040203
"DNAJC21","3.76981657670002e-06","0.00397779827284817",7.20746126107106e-06
"DNAJC24","0.000538520478276449","-0.00697932673685009",0.000837842495797767
"DNAJC25","0.00887993844988062","0.00384603488881541",0.0121527477106522
"DNAJC3","5.32877835200039e-24","0.0126904957849052",5.63004588628015e-23
"DNAJC30","0.127165262121972","-0.00539909371200836",0.151074948226483
"DNAJC5","1.15551164144021e-05","-0.0060166102248061",2.11978577838634e-05
"DNAJC6","0.056904130143224","-0.00723127922188938",0.0707037097436753
"DNAJC7","6.35425040389169e-13","0.00553075500788108",2.21610480644896e-12
"DNAJC8","2.05810434856811e-11","0.00612201622626063",6.28116868368851e-11
"DNAJC9","1.80077488261388e-14","-0.00971739596445548",7.2441790072468e-14
"DNAL1","0.0272706923939343","-0.00265225477427627",0.0353182595177953
"DNAL4","3.39718013512676e-06","-0.0103889902999773",6.53236521225108e-06
"DNALI1","0.549038302662202","-0.00156384643938712",0.586066327250286
"DNASE1L1","4.75996292278701e-12","-0.0127533836763872",1.5302247394137e-11
"DNASE2","0.000234008838243122","0.0063887192140043",0.000377834480126526
"DNHD1","0.236095103039744","0.00386673923052372",0.268042421208296
"DNLZ","0.000373426945888572","-0.0123746692943882",0.000590072979500368
"DNM1","5.53734147151308e-15","-0.0172033418203915",2.31994276165034e-14
"DNM1L","0.208564546855824","-0.00102616881879003",0.239251039616161
"DNMT1","0.0180037241403951","-0.00242055710910827",0.0237737400187464
"DNMT3A","0.218086442754926","-0.00160977305662746",0.249318765709574
"DNMT3B","1.5645728502809e-11","-0.0282969146713332",4.83427590789247e-11
"DNPH1","3.72907632680061e-28","-0.0193271204520328",6.99580489238668e-27
"DNTTIP1","8.72152618445332e-28","-0.0306733754941041",1.54361464348563e-26
"DNTTIP2","8.41567521072319e-17","0.0111441400420692",4.27125242641571e-16
"DOCK11","1.94209203670562e-25","0.0135695899603516",2.42530629771794e-24
"DOCK2","1.17124099487437e-24","0.0129664931656061",1.32091469875425e-23
"DOCK3","8.70653064946204e-08","-0.0230645510668124",1.9275197619067e-07
"DOCK4","6.20012088484641e-16","0.0105398110034129",2.88278870863496e-15
"DOCK5","0.00619000274771028","0.00374595700600744",0.0086111354919739
"DOCK6","0.209843199153342","0.00182469260679657",0.240632441308615
"DOCK8","4.35896526148583e-27","0.0160180631980322",6.84103625746781e-26
"DOCK9","2.94553088942347e-09","-0.0179865409839431",7.41658984852498e-09
"DOHH","1.04162014286318e-10","-0.0101383435325646",3.00550119879237e-10
"DOK1","0.0800665912883733","-0.00224579312674261",0.097705821452684
"DOK2","2.08067626394309e-27","0.0248374413391178",3.43205426598368e-26
"DOK3","0.722286765413026","0.000565585443931871",0.751336265308981
"DOLPP1","1.47651483071254e-12","-0.0266229661654809",4.9828522418514e-12
"DOT1L","0.00987506443880156","0.00800654697377501",0.0134279840753333
"DPAGT1","1.96062793008195e-06","-0.0108068557376644",3.84474935177211e-06
"DPCD","3.88402304619404e-18","-0.0132374266854952",2.20686230375138e-17
"DPEP1","8.22937004592808e-09","-0.0605848306613041",1.9959154807566e-08
"DPF1","0.0135069763342981","-0.0123829887318525",0.0180960636728453
"DPF2","0.19405101558374","0.00123776762618288",0.2244336751904
"DPH1","8.60282126880192e-14","0.0119556454984956",3.26826335629102e-13
"DPH2","1.09276337548857e-25","-0.0222107646776849",1.41316159718182e-24
"DPH3","2.11103418256889e-08","0.00951243059062273",4.94324493885458e-08
"DPH5","0.761083585725313","0.000362135410927611",0.786547650287673
"DPH6","0.218892209144235","-0.00184093416200842",0.250210434471413
"DPH7","3.29365318963417e-07","-0.0132314734128856",6.93253955865057e-07
"DPM1","0.00543071232191059","-0.00324432634454913",0.00760833147626908
"DPM3","0.0555512683945816","-0.00368085438053173",0.0691556606544791
"DPP3","8.96274437963903e-41","-0.0219200471575486",1.52508171470384e-38
"DPP4","7.30735450183337e-11","-0.0250531050921762",2.13814195226297e-10
"DPP7","0.950129581380787","-9.43900188675184e-05",0.956341512018706
"DPP8","0.00213981171858057","-0.00252481941962979",0.00313032184894615
"DPP9","5.96028808220559e-18","-0.0118362963422213",3.33384279753818e-17
"DPT","0.782151877712608","0.000840225911487302",0.805830790517802
"DPY19L1","1.72499806108315e-13","-0.0128575121954998",6.40044230851013e-13
"DPY19L3","0.0143938647549626","-0.00489409348831232",0.0192400901679138
"DPY30","0.000114129865979624","0.00511710022303802",0.000190951452498943
"DPYD","4.45548241014123e-45","0.0288112734039533",1.66206630369076e-42
"DPYS","9.2878049237066e-05","0.0171239981937461",0.000156801427249835
"DPYSL2","0.00676048766992613","0.00325384362991998",0.00936446299780256
"DPYSL3","1.32684370794774e-10","-0.00985955298142249",3.7883594711172e-10
"DPYSL4","0.000146360635914426","-0.0111831542535287",0.000241904621990471
"DPYSL5","0.0855506669469276","-0.0174867583241751",0.104122966334327
"DR1","3.0927432606683e-09","0.00552889116281008",7.7751469375899e-09
"DRAM2","0.845880421108069","0.000426569010512079",0.86478277688702
"DRAP1","0.000304610191807463","-0.00447419569454116",0.000486003331196016
"DRC1","8.76151908933091e-08","0.050848169483811",1.93836618721306e-07
"DRG1","3.80283591984659e-12","0.00787357556061202",1.23604911483217e-11
"DRG2","0.0778872391887851","-0.00174661242199503",0.0951660787215957
"DROSHA","1.02566391880493e-08","-0.008656807952656",2.46357462815478e-08
"DSC2","0.0037762862165683","-0.00512506911843941",0.00537356220869952
"DSCAM","0.000481405912178113","0.0278571414964312",0.00075296822161192
"DSCAML1","3.8150138662685e-09","0.0476981972947386",9.50959123334315e-09
