"gene","pval","effect","fdr"
"SAP30L","0.393842612244412","0.028966003304669",0.430261809340746
"SAR1A","0.0962484193621722","-0.127224370756881",0.115890953925881
"SAR1B","0.293022042975332","0.103286527129905",0.327824025143175
"SARAF","4.77141212366861e-19","-13.8017754563878",3.28301142838735e-18
"SARDH","7.46130934858482e-22","1.20364236572571",7.71780022402075e-21
"SARM1","0.809508432890549","0.00235594184250659",0.828340075736897
"SARNP","9.60299157576119e-15","-1.24234918046699",4.05217456085546e-14
"SARS","1.22497499134423e-11","-2.17805690991382",3.79072820028728e-11
"SARS2","0.00634970746823686","0.069336692977745",0.00881799403587566
"SART1","0.214101836318235","0.0377159414660833",0.244954179429119
"SART3","1.78260745819717e-19","-0.4289300613373",1.29456119340056e-18
"SASH1","0.0300699967337546","-0.309318280426322",0.0386183104559025
"SASH3","6.05882126653301e-22","-1.26013664171481",6.31720274488357e-21
"SAT2","6.56785688880882e-28","10.5653760537397",2.09284409779889e-26
"SATB1","6.17564537473068e-07","0.220255417973422",1.26767987244211e-06
"SAV1","1.12787445531392e-06","0.284491944197263",2.25827006872751e-06
"SAYSD1","0.0223584353112448","-0.112901936065715",0.0291399025293247
"SBDS","0.000121171422925218","-0.880201684721774",0.000199515713583251
"SBF1","5.34464288853739e-07","0.366244148090605",1.10376789731207e-06
"SBF2","0.000536274026964747","-0.334646029244802",0.000829678809975049
"SBSN","0.0200834266878279","-0.0127339009087651",0.026324597998559
"SBSPON","0.107688796084748","-0.351840468482261",0.128644241976603
"SC5D","3.01469340778007e-14","1.26884223112385",1.20747049377468e-13
"SCAF1","9.49707238367375e-05","0.0794051227243737",0.000158386347657985
"SCAF11","1.21714586862095e-13","-0.632842473829501",4.57730467310008e-13
"SCAF4","2.75689325213039e-13","0.241377800576242",9.97197841895769e-13
"SCAF8","2.79991302797499e-09","0.359378651863741",7.05925361877871e-09
"SCAI","0.621181510596301","-0.0189557024909461",0.653620399819025
"SCAMP1","0.00233993696051029","-0.288134446930589",0.00339549320646655
"SCAMP2","0.000242296529384102","0.471234734789602",0.000388376070281691
"SCAMP4","1.98459315105284e-25","0.532574803314214",3.84168886391427e-24
"SCAMP5","5.80790917640944e-09","0.557059625414375",1.42742152943782e-08
"SCAND1","0.525698700808767","-0.0608546483658616",0.561121146037134
"SCAP","5.91233146163568e-16","1.72876557169014",2.84583301863685e-15
"SCAPER","0.242303966308631","0.073377577269615",0.274763606863729
"SCARB1","2.47355399934825e-14","-4.63002146209489",9.98031431432363e-14
